scenario,baseline_accuracy,baseline_f1,quant_accuracy,quant_f1,delta_accuracy,delta_f1
clean,0.9475,0.9224416659708191,0.9475,0.9224416659708191,0.0,0.0
gaussian_noise_sigma_0.05,0.9425,0.9153391378732403,0.945,0.9188122128780845,0.0024999999999999467,0.0034730750048441728
gaussian_noise_sigma_0.1,0.9375,0.9074155032399824,0.94625,0.9217004788984223,0.008750000000000036,0.014284975658439891
sequence_shift_1,0.93375,0.9016567544604928,0.93375,0.9020890811316343,0.0,0.00043232667114156964
sequence_shift_3,0.9075,0.8620163259176232,0.905,0.8593847570862291,-0.0024999999999999467,-0.0026315688313941488
